"season","lg","team","abbreviation","playoffs","champions","age","w","l","pw","pl","mov","sos","srs","o_rtg","d_rtg","n_rtg","pace","f_tr","x3p_ar","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","drb_percent","opp_ft_fga"
2025,"NBA","League Average","NBA_AVE","","",26.5,0,0,41,41,0,0,0,114.5,114.5,0,98.8,0.243,0.421,0.576,0.543,12.6,25.2,0.189,0.543,12.6,74.8,0.189
2024,"NBA","League Average","NBA_AVE","","",26.6,0,0,41,41,0,0,0,115.3,115.3,0,98.5,0.244,0.395,0.58,0.547,12.1,24.2,0.192,0.547,12.1,75.8,0.192
2023,"NBA","League Average","NBA_AVE","","",26.3,0,0,41,41,0,0,0,114.8,114.8,0,99.1,0.266,0.387,0.581,0.545,12.5,24,0.208,0.545,12.5,76,0.208
2022,"NBA","League Average","NBA_AVE","","",26.3,0,0,41,41,0,0,0,112,112,0,98.2,0.248,0.399,0.566,0.532,12.3,23.2,0.192,0.532,12.3,76.8,0.192
2021,"NBA","League Average","NBA_AVE","","",26.3,0,0,36,36,0,0,0,112.3,112.3,0,99.2,0.247,0.392,0.572,0.538,12.4,22.2,0.192,0.538,12.4,77.8,0.192
2020,"NBA","League Average","NBA_AVE","","",26.2,0,0,35,35,0,0,0,110.6,110.6,0,100.3,0.26,0.384,0.565,0.529,12.8,22.5,0.201,0.529,12.8,77.5,0.201
2019,"NBA","League Average","NBA_AVE","","",26.4,0,0,41,41,0,0,0,110.4,110.4,0,100,0.259,0.359,0.56,0.524,12.4,22.9,0.198,0.524,12.4,77.1,0.198
2018,"NBA","League Average","NBA_AVE","","",26.6,0,0,41,41,0,0,0,108.6,108.6,0,97.3,0.252,0.337,0.556,0.521,13,22.3,0.193,0.521,13,77.7,0.193
2017,"NBA","League Average","NBA_AVE","","",26.6,0,0,41,41,0,0,0,108.8,108.8,0,96.4,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209
2016,"NBA","League Average","NBA_AVE","","",26.8,0,0,41,41,0,0,0,106.4,106.4,0,95.8,0.276,0.285,0.541,0.502,13.2,23.8,0.209,0.502,13.2,76.2,0.209
2015,"NBA","League Average","NBA_AVE","","",26.8,0,0,41,41,0,0,0,105.6,105.6,0,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205
2014,"NBA","League Average","NBA_AVE","","",26.6,0,0,41,41,0,0,0,106.7,106.7,0,93.9,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215
2013,"NBA","League Average","NBA_AVE","","",26.7,0,0,41,41,0,0,0,105.9,105.9,0,92,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204
2012,"NBA","League Average","NBA_AVE","","",26.7,0,0,33,33,0,0,0,104.6,104.6,0,91.3,0.276,0.226,0.527,0.487,13.8,27,0.208,0.487,13.8,73,0.208
2011,"NBA","League Average","NBA_AVE","","",26.7,0,0,41,41,0,0,0,107.3,107.3,0,92.1,0.3,0.222,0.541,0.498,13.4,26.4,0.229,0.498,13.4,73.6,0.229
2010,"NBA","League Average","NBA_AVE","","",26.8,0,0,41,41,0,-0.01,-0.01,107.6,107.6,0,92.7,0.3,0.222,0.543,0.501,13.3,26.3,0.228,0.501,13.3,73.7,0.228
2009,"NBA","League Average","NBA_AVE","","",26.8,0,0,41,41,0,0,0,108.3,108.3,0,91.7,0.306,0.224,0.544,0.5,13.3,26.7,0.236,0.5,13.3,73.3,0.236
2008,"NBA","League Average","NBA_AVE","","",27,0,0,41,41,0,0,0,107.5,107.5,0,92.4,0.306,0.222,0.54,0.497,13.2,26.7,0.231,0.497,13.2,73.3,0.231
2007,"NBA","League Average","NBA_AVE","","",26.7,0,0,41,41,0,0,0,106.5,106.5,0,91.9,0.327,0.213,0.541,0.496,14.2,27.1,0.246,0.496,14.2,72.9,0.246
2006,"NBA","League Average","NBA_AVE","","",26.6,0,0,41,41,0,0,0,106.2,106.2,0,90.5,0.333,0.202,0.536,0.49,13.7,27.3,0.248,0.49,13.7,72.7,0.248
2005,"NBA","League Average","NBA_AVE","","",27.1,0,0,41,41,0,0,0,106.1,106.1,0,90.9,0.324,0.196,0.529,0.482,13.6,28.7,0.245,0.482,13.6,71.3,0.245
2004,"NBA","League Average","NBA_AVE","","",27.2,0,0,41,41,0,0,0,102.9,102.9,0,90.1,0.303,0.187,0.516,0.471,14.2,28.6,0.228,0.471,14.2,71.4,0.228
2003,"NBA","League Average","NBA_AVE","","",27.2,0,0,41,41,0,0,0,103.6,103.6,0,91,0.302,0.182,0.519,0.474,14,28.5,0.229,0.474,14,71.5,0.229
2002,"NBA","League Average","NBA_AVE","","",27.4,0,0,41,41,0,0,0,104.5,104.5,0,90.7,0.293,0.181,0.52,0.477,13.6,28.9,0.221,0.477,13.6,71.1,0.221
2001,"NBA","League Average","NBA_AVE","","",27.8,0,0,41,41,0,0,0,103,103,0,91.3,0.309,0.17,0.518,0.473,14.1,28.2,0.231,0.473,14.1,71.8,0.231
2000,"NBA","League Average","NBA_AVE","","",27.8,0,0,41,41,0,0,0,104.1,104.1,0,93.1,0.308,0.167,0.523,0.478,14.2,28.9,0.231,0.478,14.2,71.1,0.231
1999,"NBA","League Average","NBA_AVE","","",27.8,0,0,25,25,0,0,0,102.2,102.2,0,88.9,0.33,0.168,0.511,0.466,14.6,30.2,0.24,0.466,14.6,69.8,0.24
1998,"NBA","League Average","NBA_AVE","","",27.6,0,0,41,41,0,0,0,105,105,0,90.3,0.33,0.159,0.524,0.478,14.5,31.4,0.243,0.478,14.5,68.6,0.243
1997,"NBA","League Average","NBA_AVE","","",27.6,0,0,41,41,0,0,0,106.7,106.7,0,90.1,0.32,0.212,0.536,0.493,14.8,30.8,0.236,0.493,14.8,69.2,0.236
1996,"NBA","League Average","NBA_AVE","","",27.6,0,0,41,41,0,0,0,107.6,107.6,0,91.8,0.329,0.2,0.542,0.499,14.7,30.6,0.243,0.499,14.7,69.4,0.243
1995,"NBA","League Average","NBA_AVE","","",27.2,0,0,41,41,0,0.01,0.01,108.3,108.3,0,92.9,0.332,0.188,0.543,0.5,14.6,31.4,0.245,0.5,14.6,68.6,0.245
1994,"NBA","League Average","NBA_AVE","","",27.3,0,0,41,41,0,0,0,106.3,106.3,0,95.1,0.315,0.117,0.528,0.485,14.3,32.2,0.232,0.485,14.3,67.8,0.232
1993,"NBA","League Average","NBA_AVE","","",27.1,0,0,41,41,0,0,0,108,108,0,96.8,0.323,0.104,0.536,0.491,14,32,0.243,0.491,14,68,0.243
1992,"NBA","League Average","NBA_AVE","","",27.2,0,0,41,41,0,0,0,108.2,108.2,0,96.6,0.305,0.087,0.531,0.487,13.6,32.9,0.232,0.487,13.6,67.1,0.232
1991,"NBA","League Average","NBA_AVE","","",27.2,0,0,41,41,0,0,0,107.9,107.9,0,97.8,0.32,0.082,0.534,0.487,13.9,32.3,0.245,0.487,13.9,67.7,0.245
