player,player_id,season
Bam Adebayo,adebaba01,2024
Giannis Antetokounmpo,antetgi01,2024
Paolo Banchero,banchpa01,2024
Scottie Barnes,barnesc01,2024
Jaylen Brown,brownja02,2024
Jalen Brunson,brunsja01,2024
Joel Embiid,embiijo01,2024
Tyrese Haliburton,halibty01,2024
Damian Lillard,lillada01,2024
Tyrese Maxey,maxeyty01,2024
Donovan Mitchell,mitchdo01,2024
Julius Randle,randlju01,2024
Jayson Tatum,tatumja01,2024
Trae Young,youngtr01,2024
Devin Booker,bookede01,2024
Stephen Curry,curryst01,2024
Anthony Davis,davisan02,2024
Luka Dončić,doncilu01,2024
Kevin Durant,duranke01,2024
Anthony Edwards,edwaran01,2024
Paul George,georgpa01,2024
Shai Gilgeous-Alexander,gilgesh01,2024
LeBron James,jamesle01,2024
Nikola Jokić,jokicni01,2024
Kawhi Leonard,leonaka01,2024
Karl-Anthony Towns,townska01,2024
Bam Adebayo,adebaba01,2023
Giannis Antetokounmpo,antetgi01,2023
DeMar DeRozan,derozde01,2023
Kevin Durant,duranke01,2023
Shai Gilgeous-Alexander,gilgesh01,2023
Jrue Holiday,holidjr01,2023
Damian Lillard,lillada01,2023
Lauri Markkanen,markkla01,2023
Donovan Mitchell,mitchdo01,2023
Ja Morant,moranja01,2023
Domantas Sabonis,sabondo01,2023
Pascal Siakam,siakapa01,2023
Jayson Tatum,tatumja01,2023
Jaylen Brown,brownja02,2023
Stephen Curry,curryst01,2023
Luka Dončić,doncilu01,2023
Anthony Edwards,edwaran01,2023
Joel Embiid,embiijo01,2023
De'Aaron Fox,foxde01,2023
Paul George,georgpa01,2023
Tyrese Haliburton,halibty01,2023
Kyrie Irving,irvinky01,2023
Jaren Jackson Jr.,jacksja02,2023
LeBron James,jamesle01,2023
Nikola Jokić,jokicni01,2023
Julius Randle,randlju01,2023
Zion Williamson,willizi01,2023
LaMelo Ball,ballla01,2022
Devin Booker,bookede01,2022
Kevin Durant,duranke01,2022
Joel Embiid,embiijo01,2022
Rudy Gobert,goberru01,2022
Draymond Green,greendr01,2022
Zach LaVine,lavinza01,2022
Khris Middleton,middlkh01,2022
Ja Morant,moranja01,2022
Dejounte Murray,murrade01,2022
Jayson Tatum,tatumja01,2022
Karl-Anthony Towns,townska01,2022
Andrew Wiggins,wiggian01,2022
Trae Young,youngtr01,2022
Jarrett Allen,allenja01,2022
Giannis Antetokounmpo,antetgi01,2022
Jimmy Butler,butleji01,2022
Stephen Curry,curryst01,2022
DeMar DeRozan,derozde01,2022
Luka Dončić,doncilu01,2022
Darius Garland,garlada01,2022
James Harden,hardeja01,2022
LeBron James,jamesle01,2022
