season,award,player_id
2024,nba clutch_poy,curryst01
2024,nba dpoy,goberru01
2024,nba mip,maxeyty01
2024,nba mvp,jokicni01
2024,nba roy,wembavi01
2024,nba smoy,reidna01
2023,nba clutch_poy,foxde01
2023,nba dpoy,jacksja02
2023,nba mip,markkla01
2023,nba mvp,embiijo01
2023,nba roy,banchpa01
2023,nba smoy,brogdma01
2022,nba dpoy,smartma01
2022,nba mip,moranja01
2022,nba mvp,jokicni01
2022,nba roy,barnesc01
2022,nba smoy,herroty01
2021,nba dpoy,goberru01
2021,nba mip,randlju01
2021,nba mvp,jokicni01
2021,nba roy,ballla01
2021,nba smoy,clarkjo01
2020,nba dpoy,antetgi01
2020,nba mip,ingrabr01
2020,nba mvp,antetgi01
2020,nba roy,moranja01
2020,nba smoy,harremo01
2019,nba dpoy,goberru01
2019,nba mip,siakapa01
2019,nba mvp,antetgi01
2019,nba roy,doncilu01
2019,nba smoy,willilo02
2018,nba dpoy,goberru01
2018,nba mip,oladivi01
2018,nba mvp,hardeja01
2018,nba roy,simmobe01
2018,nba smoy,willilo02
2017,nba dpoy,greendr01
2017,nba mip,antetgi01
2017,nba mvp,westbru01
2017,nba roy,brogdma01
2017,nba smoy,gordoer01
2016,nba dpoy,leonaka01
2016,nba mip,mccolcj01
2016,nba mvp,curryst01
2016,nba roy,townska01
2016,nba smoy,crawfja01
2015,nba dpoy,leonaka01
2015,nba mip,butleji01
2015,nba mvp,curryst01
2015,nba roy,wiggian01
2015,nba smoy,willilo02
2014,nba dpoy,noahjo01
2014,nba mip,dragigo01
2014,nba mvp,duranke01
2014,nba roy,cartemi01
2014,nba smoy,crawfja01
2013,nba dpoy,gasolma01
2013,nba mip,georgpa01
2013,nba mvp,jamesle01
2013,nba roy,lillada01
2013,nba smoy,smithjr01
2012,nba dpoy,chandty01
2012,nba mip,anderry01
2012,nba mvp,jamesle01
2012,nba roy,irvinky01
2012,nba smoy,hardeja01
2011,nba dpoy,howardw01
2011,nba mip,loveke01
2011,nba mvp,rosede01
2011,nba roy,griffbl01
2011,nba smoy,odomla01
2010,nba dpoy,howardw01
2010,nba mip,brookaa01
2010,nba mvp,jamesle01
2010,nba roy,evansty01
2010,nba smoy,crawfja01
2009,nba dpoy,howardw01
2009,nba mip,grangda01
2009,nba mvp,jamesle01
2009,nba roy,rosede01
2009,nba smoy,terryja01
2008,nba dpoy,garneke01
2008,nba mip,turkohe01
2008,nba mvp,bryanko01
2008,nba roy,duranke01
2008,nba smoy,ginobma01
2007,nba dpoy,cambyma01
2007,nba mip,ellismo01
2007,nba mvp,nowitdi01
2007,nba roy,roybr01
2007,nba smoy,barbole01
2006,nba dpoy,wallabe01
2006,nba mip,diawbo01
2006,nba mvp,nashst01
2006,nba roy,paulch01
2006,nba smoy,millemi01
2005,nba dpoy,wallabe01
2005,nba mip,simmobo01
2005,nba mvp,nashst01
2005,nba roy,okafoem01
2005,nba smoy,gordobe01
2004,nba dpoy,artesro01
2004,nba mip,randoza01
2004,nba mvp,garneke01
2004,nba roy,jamesle01
2004,nba smoy,jamisan01
2003,nba dpoy,wallabe01
2003,nba mip,arenagi01
2003,nba mvp,duncati01
2003,nba roy,stoudam01
2003,nba smoy,jacksbo01
2002,nba dpoy,wallabe01
2002,nba mip,onealje01
2002,nba mvp,duncati01
2002,nba roy,gasolpa01
2002,nba smoy,willico02
2001,nba dpoy,mutomdi01
2001,nba mip,mcgratr01
